1,2025,368,187720,219744,17.1
2,2024,333,187661,228019,21.5
3,2023,237,71584,103479,44.6
4,2022,153,66241,102295,54.4
5,2021,121,134018,241830,80.4
6,2020,41,26791,60884,127.3
7,2019,64,12987,61466,373.3
8,2018,158,33506,112659,236.2
9,2017,163,73702,204478,177.4
10,2016,85,25287,102861,306.8
11,2015,53,12923,47407,266.8
12,2014,40,1442,4991,246.1
13,2013,27,1537,4399,186.3
14,2012,20,5567,21049,278.1
15,2011,29,12912,82676,540.3
16,2010,49,62298,185489,197.7
17,2009,16,18584,81111,336.5
18,2008,23,17731,35778,101.8
19,2007,74,45390,278493,513.6
20,2006,64,20335,151041,642.8
21,2005,46,27740,177091,538.4
22,2004,24,27519,339038,1132
23,2003,11,2037,348210,16991.6
24,2002,5,2715,176997,6418.1
25,2001,2,279,504,81
26,2000,51,3458,51813,1398.5
