FINANCE MINISTRY,31769,30498,29629,29692,27771,27323,25299
TATA GROUP,29515,29468,28958,28460,26374,28212,31297
RELIANCE-MUKESH,22548,23506,22956,23035,20844,23065,18730
ADANI-GAUTAM,14963,15066,14743,14878,14621,13963,12727
BAJAJ-RAHUL,14278,14234,14204,14626,14421,14075,12061
BHARTI-MITTAL,14256,14257,14200,14192,12797,13780,10975
ICICI,13412,13096,12819,11829,11564,12227,11034
PETROLEUM & NATURAL GAS MINISTRY,11100,11131,10896,10965,10906,11102,10406
HDFC,10822,10921,10968,11089,10945,18686,15231
ADITYA BIRLA,10756,10696,10480,10122,9847,9395,8244
