Rollatainers,INE927A01040,1.5,20,3321,5,1001,2.57,02-JUN-25,1.03,08-SEP-25
Cindrella Hotel,INE908C01012,59.8,4,0,0,8,81.58,21-JUL-25,50,21-FEB-25
Padmalaya,INE243B01016,4.44,3.7,11,0,25,7.29,06-JAN-25,3.42,08-MAY-25
AF Enterprise,INE663P01015,2.46,4.7,84,0,102,11.67,06-JAN-25,1.89,29-DEC-25
Shankara Build,INE274V01019,127.8,20,3000,374,19419,1210,31-JUL-25,100.3,30-DEC-25
Shree Kris Infr,INE951Z01013,12.48,5,49,1,17,71,17-JAN-25,11.3,06-JAN-26
Jayabharat Cred,INE998D01011,22.45,2.1,0,0,10,33.07,24-OCT-25,9.49,12-AUG-25
Gian Life Care,INE063601012,9.35,4.5,6,0,44,20.75,10-JAN-25,7.08,26-DEC-25
Rajeshwari Can,INE0CQ101015,25.57,5,2,0,5,312.75,10-JAN-25,21.1,30-DEC-25
Sattrix Informa,INE0QUV01010,335.2,5,5,2,6,372.85,17-OCT-25,77.95,05-MAR-25
Kiduja India,INE845A01028,23.96,1.2,0,0,7,43.99,07-JAN-25,15.5,12-MAY-25
Pradhin,INE656B01027,.24,4.4,6196,1,1160,1,08-JAN-25,.21,04-DEC-25
KSR Footwear,INE1SPP01016,29.41,10,400,11,1664,33,27-NOV-25,14.05,29-DEC-25
Grameva,INE578R01011,55.2,-4.9,14,1,28,67.8,26-NOV-25,28.8,07-AUG-25
Niks Tech,INE0GX601011,432.2,-5,0,0,1,504,30-OCT-25,432.2,06-JAN-26
Safa Sys Tech,INE0JNA01014,20.46,-5,5,0,1,41.9,30-MAY-25,11.17,15-JAN-25
KCD Ind,INE185U01035,7.31,-4.2,62,0,28,13.51,08-DEC-25,4.81,14-JUL-25
Finelistings,INE0QOQ01013,16.6,-5,14,0,10,51.35,22-JAN-25,14.64,09-DEC-25
Dindigul Farm,INE0S6R01027,14.21,-5,32,0,14,54.25,20-JAN-25,14,30-DEC-25
Shish Ind,INE145Y01023,16.99,-2,481,8,316,19.14,31-DEC-25,7.1,01-DEC-25
Zelio E-Mobilit,INE1B3501014,396.35,-2,5,2,2,610,04-DEC-25,154.9,08-OCT-25
K K Silk Mills,INE0EOJ01014,18.7,-5,57,1,18,32,03-DEC-25,15.56,18-DEC-25
Western Oversea,INE1MF401019,19.85,-5,52,1,24,54.9,11-DEC-25,19.85,06-JAN-26
Neptune Logitek,INE1NQ501012,54.42,-10,1000,55,673,100.8,22-DEC-25,54.42,06-JAN-26
